Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Fecha
2022,1,Buenos Aires,31.591,30.056,313382,321.756,290.127,161.183,3381049,26.28,4555424,2022-03-01
2022,1,Capital Federal,527.0,5.575,39918,77.39,61.053,43.289,1188072,1.717,1417541,2022-03-01
2022,1,Catamarca,71.0,456.0,4386,7.009,8.773,3.761,35715,2.207,62378,2022-03-01
2022,1,Chaco,461.0,1.099,16888,21.235,20.898,13.012,62946,7.58,144119,2022-03-01
2022,1,Chubut,113.0,1.677,61369,31.856,33.08,13.871,14055,15.607,171628,2022-03-01
2022,1,Córdoba,100.0,12.782,165922,126.009,73.967,34.892,577027,13.104,1003803,2022-03-01
2022,1,Corrientes,67.0,4.029,24563,25.665,27.077,10.452,43631,7.094,142578,2022-03-01
2022,1,Entre Ríos,107.0,5.745,50075,49.62,42.294,21.578,81757,16.75,267926,2022-03-01
2022,1,Formosa,97.0,448.0,24113,6.945,6.613,716.0,15028,588.0,54548,2022-03-01
2022,1,Jujuy,58.0,1.761,22141,16.321,37.923,576.0,35287,2.442,116509,2022-03-01
2022,1,La Pampa,301.0,2.223,62812,9.869,12.044,5.25,14400,2.833,109732,2022-03-01
2022,1,La Rioja,18.0,778.0,3576,4.692,23.624,5.645,45970,0.0,84303,2022-03-01
2022,1,Mendoza,114.0,3.355,51230,26.407,74.178,21.566,95048,3.287,275185,2022-03-01
2022,1,Misiones,51.0,3.873,35655,22.261,26.855,15.854,58610,8.349,171508,2022-03-01
2022,1,Neuquén,137.0,1.123,39856,15.623,11.163,2.654,71238,7.885,149679,2022-03-01
2022,1,Río Negro,116.0,1.383,35565,18.859,26.926,14.144,37729,22.652,157374,2022-03-01
2022,1,Salta,114.0,1.725,35576,68.246,6.313,2.214,76838,6.489,197515,2022-03-01
2022,1,San Juan,26.0,2.269,32356,11.914,25.144,2.088,11916,2.465,88178,2022-03-01
2022,1,San Luis,61.0,643.0,8287,3.837,9.802,68.612,13,28.589,119844,2022-03-01
2022,1,Santa Cruz,51.0,6.898,12710,11.502,12.277,2.628,2551,485.0,49102,2022-03-01
2022,1,Santa Fe,468.0,12.435,143796,208.361,84.787,58.018,344170,18.444,870479,2022-03-01
2022,1,Santiago Del Estero,178.0,1.401,30220,61.17,13.542,849.0,8309,792.0,116461,2022-03-01
2022,1,Tierra Del Fuego,24.0,894.0,12849,15.64,18.034,1.767,982,2.421,52611,2022-03-01
