Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Fecha
2022,1,Buenos Aires,392045,20702080806050.0,10204020102010.0,125521,66.872,4555424,2022-03-01
2022,1,Capital Federal,102290,10201070202050.0,6020300080.0,5784,29.934,1417541,2022-03-01
2022,1,Catamarca,14181,1050501070.0,2090101080.0,1328,2.234,62378,2022-03-01
2022,1,Chaco,32391,6040504060.0,3060606020.0,8164,2.356,144119,2022-03-01
2022,1,Chubut,44133,6060606070.0,90108040.0,30592,21.052,171628,2022-03-01
2022,1,Córdoba,195610,5010709090.0,203050803080.0,60843,9.713,1003803,2022-03-01
2022,1,Corrientes,40462,70909030.0,1000807050.0,6774,5.374,142578,2022-03-01
2022,1,Entre Ríos,67159,103080908060.0,2030009010.0,26098,12.592,267926,2022-03-01
2022,1,Formosa,16397,1050902070.0,50104060.0,16876,202.0,54548,2022-03-01
2022,1,Jujuy,21307,60601060.0,2050904090.0,4662,3.975,116509,2022-03-01
2022,1,La Pampa,8003,5080907080.0,2010703090.0,19903,1.109,109732,2022-03-01
2022,1,La Rioja,9103,5090202080.0,90504060.0,6395,31.0,84303,2022-03-01
2022,1,Mendoza,49464,7040104050.0,102030202080.0,26969,1.379,275185,2022-03-01
2022,1,Misiones,39147,9010705020.0,2050107080.0,7807,7.624,171508,2022-03-01
2022,1,Neuquén,28443,703020.0,2040109030.0,23098,745.0,149679,2022-03-01
2022,1,Río Negro,38662,4050306060.0,3080003070.0,16815,18.494,157374,2022-03-01
2022,1,Salta,44714,9080606070.0,4000909040.0,5950,7.19,197515,2022-03-01
2022,1,San Juan,34038,1040404090.0,1010209040.0,20723,7.674,88178,2022-03-01
2022,1,San Luis,7987,1010209060.0,3010.0,71809,28.721,119844,2022-03-01
2022,1,Santa Cruz,10537,20304020.0,1000706060.0,3974,405.0,49102,2022-03-01
2022,1,Santa Fe,213486,4040406090.0,104060505020.0,45261,20.571,870479,2022-03-01
2022,1,Santiago Del Estero,18118,8070907090.0,10009030.0,6349,2.922,116461,2022-03-01
2022,1,Tierra Del Fuego,13031,308070.0,401060.0,124,340.0,52611,2022-03-01
2022,1,Tucumán,92532,6020309060.0,8060107040.0,3995,487.0,245584,2022-03-01
2021,4,Buenos Aires,426325,2070605060.0,10107060002040.0,126887,73.415,4509157,2021-12-01
2021,4,Capital Federal,111360,102050102080.0,6000000050.0,5679,29.947,1412119,2021-12-01
2021,4,Catamarca,16385,1030805080.0,2050100000.0,1512,2.235,59090,2021-12-01
2021,4,Chaco,35548,6030104050.0,3040608080.0,8005,2.359,143745,2021-12-01
2021,4,Chubut,46361,5070401020.0,90605050.0,28041,18.839,160308,2021-12-01
2021,4,Córdoba,212011,408070408090.0,201070201040.0,61277,8.779,986770,2021-12-01
2021,4,Corrientes,42523,7010108030.0,1000103080.0,6778,5.29,135912,2021-12-01
2021,4,Entre Ríos,70459,103030308070.0,2030405020.0,25022,12.726,265046,2021-12-01
2021,4,Formosa,17211,1050101010.0,50105010.0,16018,172.0,53663,2021-12-01
2021,4,Jujuy,22330,60501010.0,2040105060.0,2927,3.991,113915,2021-12-01
2021,4,La Pampa,8175,5080.0,2000109020.0,19286,1.354,107007,2021-12-01
2021,4,La Rioja,10387,5060605010.0,90404060.0,6613,31.0,83128,2021-12-01
2021,4,Mendoza,59842,7010505030.0,100090606070.0,24666,1.859,267587,2021-12-01
2021,4,Misiones,41778,90206080.0,2020003050.0,7649,7.602,171132,2021-12-01
